Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/10/2017 0:00,2017,1,10,0,27,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 1:00,2017,1,10,1,32,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 2:00,2017,1,10,2,27,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 3:00,2017,1,10,3,24,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 4:00,2017,1,10,4,33,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 5:00,2017,1,10,5,31,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 6:00,2017,1,10,6,34,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 7:00,2017,1,10,7,30,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 8:00,2017,1,10,8,34,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 9:00,2017,1,10,9,39,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 10:00,2017,1,10,10,38,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 11:00,2017,1,10,11,40,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 12:00,2017,1,10,12,39,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 13:00,2017,1,10,13,39,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 14:00,2017,1,10,14,40,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 15:00,2017,1,10,15,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,1/10/2017 16:00,2017,1,10,16,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,1/10/2017 17:00,2017,1,10,17,47,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 18:00,2017,1,10,18,41,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 19:00,2017,1,10,19,38,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 20:00,2017,1,10,20,40,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 21:00,2017,1,10,21,41,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 22:00,2017,1,10,22,46,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2017 23:00,2017,1,10,23,43,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 0:00,2017,1,11,0,44,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 1:00,2017,1,11,1,37,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 2:00,2017,1,11,2,37,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 3:00,2017,1,11,3,34,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 4:00,2017,1,11,4,39,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 5:00,2017,1,11,5,49,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 6:00,2017,1,11,6,49,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 7:00,2017,1,11,7,37,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 8:00,2017,1,11,8,40,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 9:00,2017,1,11,9,42,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 10:00,2017,1,11,10,38,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 11:00,2017,1,11,11,37,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 12:00,2017,1,11,12,37,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 13:00,2017,1,11,13,39,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 14:00,2017,1,11,14,41,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 15:00,2017,1,11,15,42,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 16:00,2017,1,11,16,39,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 17:00,2017,1,11,17,46,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 18:00,2017,1,11,18,43,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 19:00,2017,1,11,19,42,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 20:00,2017,1,11,20,53,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 21:00,2017,1,11,21,47,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 22:00,2017,1,11,22,82,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2017 23:00,2017,1,11,23,97,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 0:00,2017,1,12,0,95,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 1:00,2017,1,12,1,82,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 2:00,2017,1,12,2,79,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 3:00,2017,1,12,3,78,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 4:00,2017,1,12,4,63,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 5:00,2017,1,12,5,60,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 6:00,2017,1,12,6,65,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 7:00,2017,1,12,7,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 8:00,2017,1,12,8,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 9:00,2017,1,12,9,57,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2017 10:00,2017,1,12,10,52,µg/m³,1 Hr,Valid
